name,vendor,price,category_id,url,picture,availability
Электронагреватель Elecro Nano Spa 6 кВт 230В ,Elecro,15748,158,https://aquapolis.ru/jelektronagrevatel-elecro-nano-spa-6-kw-230v.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/e/l/elecro_nano_main_1.jpg,false
Электронагреватель LX pumps EH30-R2 3 кВт 230В,Aquaviva,4913,158,https://aquapolis.ru/jelektronagrevatel-lx-pumps-eh30-r2.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/h/-/h-r2_heater.jpg,false
Вакумная плата Bodа 91012,Boda,51,170,https://aquapolis.ru/vakumnaja-plata-boda-91012.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Корзина Olimpic 91016,Boda,102,170,https://aquapolis.ru/korzina-olimpic-91016.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/z/a/zapasnaya_korzinka_k_skimmeru_olimpic.jpg,false
Лицевая панель Olimpic 91007-91009,Boda,102,170,https://aquapolis.ru/licevaja-panel-olimpic-91007-91009.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
Скимвак Olimpic 91015,Boda,102,170,https://aquapolis.ru/skimvak-olimpic-91015.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/placeholder/default/aq_box.jpg,true
"Форсунка гидромассажная под бетон Marpiscine 17001 (1.5"") нерж.сталь",Marpiscine,26174,166,https://aquapolis.ru/forsunka-gidromassazhnaja-marpiscine-17001-1-5-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/7/17001_1.jpg,true
"Форсунка гидромассажная под лайнер Marpiscine 17004 (1.5"") нерж.сталь ",Marpiscine,17411,166,https://aquapolis.ru/forsunka-gidromassazhnaja-marpiscine-17004-1-5-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/7/17004_1.jpg,false
"Донный слив под бетон Marpiscine 20099 (2"") нерж.сталь",Marpiscine,15468,168,https://aquapolis.ru/donnyj-sliv-marpiscine-20099-2-170mm-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/2/0/20100.jpg,true
"Донный слив под лайнер Marpiscine 20100 (2"") нерж.сталь",Marpiscine,19687,168,https://aquapolis.ru/donnyj-sliv-marpiscine-20100-2-170mm-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/2/0/20100_3.jpg,true
"Скиммер под бетон Marpiscine 19101 стандарт (2"") нерж.сталь",Marpiscine,44195,167,https://aquapolis.ru/skimmer-marpiscine-19101-standart-pod-beton-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/9/19101.jpg,true
"Скиммер под лайнер Marpiscine 19102 стандарт (2"") нерж.сталь",Marpiscine,53436,167,https://aquapolis.ru/skimmer-marpiscine-19102-standart-pod-lajner-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/9/19101_1.jpg,true
"Скиммер под бетон Marpiscine 19122 узкий (2"") нерж.сталь",Marpiscine,56920,167,https://aquapolis.ru/skimmer-uzkij-marpiscine-19122-400mm-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/9/19122_1_1.jpg,false
"Скиммер под лайнер Marpiscine 19123 узкий (2"") нерж.сталь",Marpiscine,63614,167,https://aquapolis.ru/skimmer-uzkij-marpiscine-19123-400mm-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/9/19122_1_2.jpg,false
"Скиммер под бетон Marpiscine 19103 широкий (2"") нерж.сталь",Marpiscine,55312,167,https://aquapolis.ru/skimmer-shirokij-marpiscine-19103-pod-beton-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/_/0/_02.jpg,true
"Скиммер под лайнер Marpiscine 19104 широкий (2"") нерж.сталь ",Marpiscine,66027,167,https://aquapolis.ru/skimmer-shirokij-marpiscine-19104-pod-lajner-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/_/0/_02_1.jpg,true
"Проход стеновой под бетон Marpiscine 18100 (1.5"") нерж.сталь",Marpiscine,6161,170,https://aquapolis.ru/prohod-stenovoj-marpiscine-18100-1-5-250mm-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/8/18111_2.jpg,true
"Проход стеновой под лайнер Marpiscine 18111 (1.5"") нерж.сталь",Marpiscine,12522,170,https://aquapolis.ru/prohod-stenovoj-marpiscine-18111-1-5-250mm-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/8/18111_1.jpg,true
"Проход стеновой под лайнер Marpiscine 18113 (2"") нерж.сталь",Marpiscine,13929,170,https://aquapolis.ru/prohod-stenovoj-marpiscine-18113-2-250mm-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/8/18111_1_1.jpg,true
"Проход стеновой под бетон Marpiscine 18101 (2"") нерж.сталь",Marpiscine,8706,170,https://aquapolis.ru/prohod-stenovoj-marpiscine-18101-2-250mm-nerzh-stal.html,https://aquapolis.ru/media/catalog/product/cache/1/image/425x425/9df78eab33525d08d6e5fb8d27136e95/1/8/18111_2_1.jpg,true
